objectid,lad16cd,lad16nm,lad16nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,population,households,single,double,treble,quadruple,quintuple_plus,household_size
88,E07000048,Christchurch,Christchurch,413093,96313,-1.81570005,50.76625061,50135239.12,51150.07611,47298,21475,6856,8396,2703,2414,8396,2.2
89,E07000049,East Dorset,East Dorset,401685,109966,-1.97739995,50.8891716,355460103,125189.5065,86193,37564,9820,15987,5193,4648,15987,2.3
90,E07000050,North Dorset,North Dorset,381794,113407,-2.26037002,50.91981888,608406787.3,143444.7352,65572,28670,8095,11492,4020,3485,11492,2.3
91,E07000051,Purbeck,Purbeck,391183,88321,-2.12617993,50.69445038,404750549.1,169083.5654,44334,19583,5699,7825,2699,2296,7825,2.3
92,E07000052,West Dorset,West Dorset,357765,99663,-2.60061002,50.79497147,1083855508,253268.9477,96596,44386,14161,17794,5733,4585,17794,2.2
93,E07000053,Weymouth and Portland,Weymouth and Portland,368175,81510,-2.45133996,50.63240051,42229711.35,65129.52443,63373,28535,9138,10699,4076,3089,10699,2.2
94,E07000061,Eastbourne,Eastbourne,559351,99605,0.258699,50.77413177,44333899.2,31994.57776,96968,45012,16298,15808,5959,4579,15808,2.2
95,E07000062,Hastings,Hastings,581599,110745,0.57942897,50.8676796,30362428.84,29405.49092,88562,41159,15781,13369,5696,3890,13369,2.2
96,E07000063,Lewes,Lewes,541474,105685,0.007671,50.83340836,292533207.6,123906.5109,95880,42181,12744,15853,6074,5165,15853,2.3
97,E07000064,Rother,Rother,578730,119663,0.543064,50.94868088,512601986.7,152442.1127,88149,40877,13889,15959,5065,3768,15959,2.2
98,E07000065,Wealden,Wealden,555048,117173,0.205153,50.93315887,834753995.9,183186.6481,146039,62676,17279,24503,8934,8222,24503,2.3
99,E07000066,Basildon,Basildon,571548,190848,0.47505501,51.59035873,110566232,61212.02743,173372,72746,21480,24094,11812,10564,24094,2.4
100,E07000067,Braintree,Braintree,577253,227335,0.57591099,51.91633987,611511794.8,144949.865,145463,61043,16537,22087,9914,8726,22087,2.4
101,E07000068,Brentwood,Brentwood,558560,196070,0.29009101,51.64107895,153031159.1,65041.62595,72789,30646,8853,10458,4715,4738,10458,2.4
102,E07000069,Castle Point,Castle Point,579490,187921,0.58808398,51.56159973,44385499.73,54459.77403,87385,36440,9524,13588,5770,5170,13588,2.4
103,E07000070,Chelmsford,Chelmsford,572115,206972,0.49116299,51.73503113,342453176.5,104105.2788,166182,69667,19138,24829,11029,10339,24829,2.4
104,E07000071,Colchester,Colchester,596944,223692,0.85977602,51.87701035,332398764.3,160118.2773,167080,71634,20849,25631,11291,9661,25631,2.3
105,E07000072,Epping Forest,Epping Forest,548919,203758,0.154147,51.71279144,338953315.1,110167.3859,123623,51991,15285,17318,8406,7595,17318,2.4
106,E07000073,Harlow,Harlow,545276,209589,0.103888,51.76613998,30520204.73,24757.03706,81551,34620,10599,11168,5808,4828,11168,2.4
107,E07000074,Maldon,Maldon,591460,212199,0.773857,51.77571106,357574832.8,208111.5161,61097,25817,6923,9731,3941,3684,9731,2.4
108,E07000075,Rochford,Rochford,585981,191420,0.68347299,51.59093094,168957444.8,141843.6809,82736,33564,8112,12425,5288,5465,12425,2.5
109,E07000076,Tendring,Tendring,614203,222163,1.10918295,51.85692978,336746249,174058.0382,135867,62105,20545,23752,8243,6232,23752,2.2
110,E07000077,Uttlesford,Uttlesford,557832,228865,0.294485,51.93592072,640245824.9,149901.7598,78295,31316,7372,11409,5056,5136,11409,2.5
111,E07000078,Cheltenham,Cheltenham,394925,222232,-2.07515001,51.89860916,46496280.93,33217.33593,112148,50929,17735,17716,6822,5921,17716,2.2
112,E07000079,Cotswold,Cotswold,402125,208209,-1.97059,51.77254868,1164247621,296111.558,81319,36236,10959,14134,4917,4395,14134,2.2
113,E07000080,Forest of Dean,Forest of Dean,367175,212759,-2.47755003,51.81248856,525444310.8,171426.9091,80040,34167,9226,13393,5073,4390,13393,2.3
114,E07000081,Gloucester,Gloucester,384071,216449,-2.23263001,51.84640884,40907386.85,28568.95173,119955,50363,14695,17072,8183,6971,17072,2.4
115,E07000082,Stroud,Stroud,378806,202410,-2.30819988,51.72000885,460955057,152639.8999,111503,47794,13472,18175,6771,6504,18175,2.3
116,E07000083,Tewkesbury,Tewkesbury,386347,226279,-2.19998002,51.93484879,415160713.6,182806.2379,81053,35126,9858,13628,5135,4602,13628,2.3
117,E07000084,Basingstoke and Deane,Basingstoke and Deane,454508,151423,-1.22020996,51.2593689,633747548.4,129024.2267,166468,69315,18298,25207,11407,10049,25207,2.4
118,E07000085,East Hampshire,East Hampshire,474404,129237,-0.93971002,51.05765152,514564088.8,132655.03,113394,47258,12182,17858,7353,6906,17858,2.4
119,E07000086,Eastleigh,Eastleigh,447202,116802,-1.32942998,50.94871902,79880656.3,59650.74544,124266,52177,13934,19150,8428,7654,19150,2.4
